,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Sao Geraldo Do Araguaia,BR,80.06,broken clouds,-6.4006,-48.555,Hotel Por do Sol
515,Bitung,ID,85.05,overcast clouds,1.4451,125.1824,K2 Lembeh
517,Ribas Do Rio Pardo,BR,74.05,light rain,-20.4431,-53.7592,Pousada Avenida
519,Nageshwari,BD,77.18,overcast clouds,25.9377,89.7148,আরাজী কুমরপুর জামে মসজিদ
520,Buin,CL,62.11,overcast clouds,-33.7333,-70.75,Paihuen
521,Canutama,BR,89.96,broken clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
522,Dicabisagan,PH,82.06,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
523,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
524,Begoro,GH,67.86,overcast clouds,6.3871,-0.3774,Sweet Memories Hotel
525,Marawi,PH,77.29,overcast clouds,7.9986,124.2928,Derogongan Residence
527,Saquarema,BR,69.94,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
528,Binzhou,CN,67.42,broken clouds,37.3667,118.0167,Hampton By Hilton Binzhou
529,Lamesa,US,80.53,clear sky,32.7376,-101.951,Shiloh Inn Lamesa
530,Kapit,MY,75.02,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
531,Haveri,IN,68.94,overcast clouds,14.8,75.4,Shivashakti Palace
532,Sanming,CN,80.65,clear sky,26.2486,117.6186,Sanming Huangting Lijing Hotel
534,Pailitas,CO,78.22,broken clouds,8.9565,-73.6255,HOTEL JECENTER
535,Mehran,IR,79.12,clear sky,33.1222,46.1646,بوتیک زنانه بهار
538,Wewak,PG,84.85,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
539,Teguise,ES,66.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
543,Pointe Michel,DM,77.29,broken clouds,15.25,-61.3833,Roseau Hostel & Beach Front Property
545,Santa Isabel,BR,61.9,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
546,Karratha,AU,74.73,few clouds,-20.7377,116.8463,ibis Styles Karratha
547,Pereira Barreto,BR,69.13,overcast clouds,-20.6383,-51.1092,Hotel Pousada Pantal
548,Itanhaem,BR,66.83,overcast clouds,-24.1831,-46.7889,Prainha Residência Artística
549,Sechura,PE,64.98,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
556,Eslamshahr,IR,72.84,clear sky,35.5605,51.2346,چاپ و تبلیغات روژان گرافیک
557,Knysna,ZA,62.35,overcast clouds,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
559,Santa Cruz Cabralia,BR,73.63,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
561,Olivenza,ES,61.32,clear sky,38.6832,-7.103,Hotel Heredero
